instance_id,theorem_name,proof_url,licence_status,redistribution_status,reviewer,notes
erdosproblems-125-positive-lower-density,Erdos125.erdos_125.variants.positive_lower_density,https://github.com/mo271/formal-conjectures/blob/c27415379b5dbe34105d1fdd707994540c4c6fc7/FormalConjectures/ErdosProblems/125.lean#L468,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-138-monoapnumber-two-one,Erdos138.monoAPNumber_two_one,https://github.com/XC0R/formal-conjectures/blob/6c7a16e8998d1c597fa2a5c6329bc9301fcc56e2/FormalConjectures/ErdosProblems/138.lean#L79,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-138-monoapnumber-two-two,Erdos138.monoAPNumber_two_two,https://github.com/XC0R/formal-conjectures/blob/6c7a16e8998d1c597fa2a5c6329bc9301fcc56e2/FormalConjectures/ErdosProblems/138.lean#L142,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-138-difference,Erdos138.erdos_138.variants.difference,https://github.com/mo271/formal-conjectures/blob/6ac8d0cbe1a85e71747c62c1391a84788015ebc1/FormalConjectures/ErdosProblems/138.lean#L844,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-152-erdos-152,Erdos152.erdos_152,https://github.com/mo271/formal-conjectures/blob/29c60aa79729701905cf9e92517af23f588971f2/FormalConjectures/ErdosProblems/152.lean#L485,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-152-square,Erdos152.erdos_152.variants.square,https://github.com/mo271/formal-conjectures/blob/ff58c933d53bb807bf85d98a47402703f9f14ed3/FormalConjectures/ErdosProblems/152.lean#L496,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-189-erdos-189,Erdos189.erdos_189,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos189.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-198-erdos-198,Erdos198.erdos_198,https://github.com/XC0R/formal-conjectures/blob/33045ec97b08a40c7ff91f1e2a112f5e3b4725f8/FormalConjectures/ErdosProblems/198.lean#L168,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-198-concrete,Erdos198.erdos_198.variants.concrete,https://github.com/mzhorvath1/formal-conjectures/blob/21f6780f84b406de468389571eb01717b8072f09/FormalConjectures/ErdosProblems/198.lean#L84,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-233-lower-bound,Erdos233.erdos_233.variants.lower_bound,https://github.com/mzhorvath1/formal-conjectures/blob/032848c62fdf4c422bb0ee6663dc8d009d456c2c/FormalConjectures/ErdosProblems/233.lean#L57,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-259-erdos-259,Erdos259.erdos_259,https://gist.githubusercontent.com/ster-oc/c7429943f6b3a634797dc8b2a3b01f2d/raw/8c6b5b7f08021f0aed2312542dd2e9ee7beaa6d6/Erdos259.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-26-tenenbaum,Erdos26.erdos_26.variants.tenenbaum,https://github.com/mo271/formal-conjectures/blob/09c54540aa51cb40dff73660c94a82e2631386f8/FormalConjectures/ErdosProblems/26.lean#L625,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
erdosproblems-263-ii,Erdos263.erdos_263.parts.ii,https://github.com/google-deepmind/formal-conjectures/blob/c8cf651906abe91051cf835d4232ad5648412113/FormalConjectures/ErdosProblems/263.lean#L298,Apache-2.0,bundled,Codex,Oracle copied from the upstream Apache-2.0 Formal Conjectures proof and ported to the pinned Lean 4.27.0/mathlib environment; local Docker oracle passes hardened verifier.
erdosproblems-267-specialization-pow-two,Erdos267.erdos_267.variants.specialization_pow_two,https://github.com/mo271/formal-conjectures/blob/2663234a28260853790aa5752d8d4550ff0ab1ca/FormalConjectures/ErdosProblems/267.lean#L56,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-275-erdos-275,Erdos275.erdos_275,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos275.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-316-erdos-316,Erdos316.erdos_316,https://github.com/google-deepmind/formal-conjectures/blob/main/FormalConjectures/ErdosProblems/316.lean,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-350-erdos-350,Erdos350.erdos_350,https://github.com/XC0R/formal-conjectures/blob/ba788c9124b563bce98a3413d474b3a2731fd0af/FormalConjectures/ErdosProblems/350.lean#L226,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-370-erdos-370,Erdos370.erdos_370,https://github.com/XC0R/formal-conjectures/blob/f58dea7d2cc5c9da2e050ec80a73e838b54a6dd2/FormalConjectures/ErdosProblems/370.lean#L73,Apache-2.0,bundled,Codex,Pilot oracle copied from pinned Formal Conjectures fork file with Apache-2.0 header; canary pass still required.
erdosproblems-379-erdos-379,Erdos379.erdos_379,https://github.com/XC0R/formal-conjectures/blob/80a965e9a85d3f3dabd0a398a49adab6742ea6e0/FormalConjectures/ErdosProblems/379.lean#L123,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-397-erdos-397,Erdos397.erdos_397,https://github.com/XC0R/formal-conjectures/blob/3c356a50a21bcbf3543f960b0c92d7fb26228cb6/FormalConjectures/ErdosProblems/397.lean#L147,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
erdosproblems-399-erdos-399,Erdos399.erdos_399,https://github.com/google-deepmind/formal-conjectures/blob/main/FormalConjectures/ErdosProblems/399.lean,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-645-erdos-645,Erdos645.erdos_645,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos645.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-707-erdos-707,Erdos707.erdos_707,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos707.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-741-i,Erdos741.erdos_741.parts.i,https://github.com/mo271/formal-conjectures/blob/486bc8afae062b6711cd16d3466d651ee2880a52/FormalConjectures/ErdosProblems/741.lean#L1449,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-741-upper,Erdos741.erdos_741.variants.upper,https://github.com/google-deepmind/formal-conjectures/blob/9d492049e42167b0d2fd58a9e91da3bf160172b5/FormalConjectures/ErdosProblems/741.lean#L228,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-741-ii,Erdos741.erdos_741.parts.ii,https://github.com/mo271/formal-conjectures/blob/486bc8afae062b6711cd16d3466d651ee2880a52/FormalConjectures/ErdosProblems/741.lean#L1629,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
erdosproblems-828-phi-dvd-self-iff-pow2-pow3,Erdos828.erdos_828.variants.phi_dvd_self_iff_pow2_pow3,https://github.com/XC0R/formal-conjectures/blob/03e00cf8d44098d0fb06e891fca30c29769df619/FormalConjectures/ErdosProblems/828.lean#L49,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-846-erdos-846,Erdos846.erdos_846,https://github.com/google-deepmind/formal-conjectures/blob/2404258180688283e5141021c75464dc2acfb798/FormalConjectures/ErdosProblems/846.lean,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-897-i,Erdos897.erdos_897.parts.i,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos897.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-897-ii,Erdos897.erdos_897.parts.ii,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos897.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-978-allow-fixed-divisors,Erdos978.erdos_978.variants.allow_fixed_divisors,https://github.com/mo271/formal-conjectures/blob/3b5d6ac2555cd63b83d418c29ff040876be9dee0/FormalConjectures/ErdosProblems/978.lean#L64,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
greensopenproblems-57-z3,Green57.green_57.variants.z3,https://github.com/mo271/formal-conjectures/blob/f5afe85e1e02611f63c32ae041b33c67b7938cba/FormalConjectures/GreensOpenProblems/57.lean#L1100,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
greensopenproblems-57-green-57,Green57.green_57,https://github.com/mo271/formal-conjectures/blob/f5afe85e1e02611f63c32ae041b33c67b7938cba/FormalConjectures/GreensOpenProblems/57.lean#L1120,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
greensopenproblems-94-green-94-outer-measure,Green94.green_94_outer_measure,https://github.com/google-deepmind/formal-conjectures/blob/153d79d6c82c76fe1bee860742af800840c974d9/FormalConjectures/GreensOpenProblems/94.lean#L174,Apache-2.0,bundled,Codex,Oracle copied from the upstream Apache-2.0 Formal Conjectures proof and repaired for the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
mathoverflow-10799-mathoverflow-10799,Mathoverflow10799.mathoverflow_10799,https://github.com/mo271/formal-conjectures/blob/408f53dc0856c0882a5e77acd24fc83b978f0bc9/FormalConjectures/Mathoverflow/10799.lean#L252,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
mathoverflow-486451-exists-semiring-unique-left-right-maximal-ne,Mathoverflow486451.exists_semiring_unique_left_right_maximal_ne,https://github.com/google-deepmind/formal-conjectures/blob/f7502b9ed3e32d193ab8fee53d2e28f7d67f2dc3/FormalConjectures/Mathoverflow/486451.lean#L333,Apache-2.0,bundled,Codex,Oracle copied from the upstream Apache-2.0 Formal Conjectures proof and repaired for the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
openquantumproblems-13-mutuallyunbiasedbases-dim6-bounds,OpenQuantumProblem13.mutuallyUnbiasedBases_dim6_bounds,https://github.com/XC0R/formal-conjectures/blob/c8733543568e8011288a9fa7ef33375f5e5907d3/FormalConjectures/OpenQuantumProblems/13.lean#L1168,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
openquantumproblems-35-ame-11-5-open,OpenQuantumProblem35.ame_11_5_open,https://github.com/google-deepmind/formal-conjectures/blob/47383bf7fbe86effc9ac184446e320f26ddbee3a/FormalConjectures/OpenQuantumProblems/35.lean#L2138,Apache-2.0,bundled,Codex,Oracle copied from the upstream Apache-2.0 Formal Conjectures proof and repaired for the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
paper-casasalvero-positive-char-counterexample,CasasAlvero.casas_alvero.positive_char_counterexample,https://github.com/mzhorvath1/formal-conjectures/blob/4f2343508f2c157f35abb7be4814bd550280ce81/FormalConjectures/Paper/CasasAlvero.lean#163,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
paper-claudescycles-cube-hamiltonian-arc-decomposition,ClaudesCycles.cube_hamiltonian_arc_decomposition,https://github.com/kim-em/KnuthClaudeLean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
paper-monochromaticquantumgraph-eqsystem-no-solution-even-ge4-d-eq-n-explicit,MonochromaticQuantumGraph.eqSystem_no_solution_even_ge4_d_eq_n_explicit,https://github.com/google-deepmind/formal-conjectures/blob/af88acbf9da0f26e3e934743a819e986e02f6875/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L1006,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem4-no-solution-d4,MonochromaticQuantumGraph.eqSystem4_no_solution_d4,https://github.com/google-deepmind/formal-conjectures/blob/af88acbf9da0f26e3e934743a819e986e02f6875/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L1021,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem4-no-solution-ge4,MonochromaticQuantumGraph.eqSystem4_no_solution_ge4,https://github.com/mo271/formal-conjectures/blob/4854c7233c58a7dce45fdd58b1826abf2c9c1a0f/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L549,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem6-no-solution-d6,MonochromaticQuantumGraph.eqSystem6_no_solution_d6,https://github.com/google-deepmind/formal-conjectures/blob/af88acbf9da0f26e3e934743a819e986e02f6875/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L1074,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem8-no-solution-d10,MonochromaticQuantumGraph.eqSystem8_no_solution_d10,https://github.com/mo271/formal-conjectures/blob/2cc6df2e95835d759caedb15e36b70025b2eae2c/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L853,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem10-no-solution-d10,MonochromaticQuantumGraph.eqSystem10_no_solution_d10,https://github.com/google-deepmind/formal-conjectures/blob/af88acbf9da0f26e3e934743a819e986e02f6875/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L1167,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem4-no-solution-ge4-real,MonochromaticQuantumGraph.eqSystem4_no_solution_ge4_real,https://github.com/mo271/formal-conjectures/blob/4854c7233c58a7dce45fdd58b1826abf2c9c1a0f/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L738,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem4-no-solution-ge4-int,MonochromaticQuantumGraph.eqSystem4_no_solution_ge4_int,https://github.com/mo271/formal-conjectures/blob/4854c7233c58a7dce45fdd58b1826abf2c9c1a0f/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L836,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
paper-monochromaticquantumgraph-eqsystem4-no-solution-ge4-trinary-int,MonochromaticQuantumGraph.eqSystem4_no_solution_ge4_trinary_int,https://github.com/mo271/formal-conjectures/blob/4854c7233c58a7dce45fdd58b1826abf2c9c1a0f/FormalConjectures/Paper/MonochromaticQuantumGraph.lean#L936,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
wikipedia-agohgiuga-isweakgiuga-iff-prime-dvd,AgohGiuga.isWeakGiuga_iff_prime_dvd,https://github.com/mo271/formal-conjectures/blob/2663234a28260853790aa5752d8d4550ff0ab1ca/FormalConjectures/Wikipedia/AgohGiuga.lean#L97,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
wikipedia-eulerbrick-cuboidone,EulerBrick.cuboidOne,https://github.com/google-deepmind/formal-conjectures/blob/34c93bbad127a9a5354b9d53478d338eb65edb88/FormalConjectures/Wikipedia/EulerBrick.lean#L1804,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
wikipedia-legendreconjecture-bounded-gap-legendre,LegendreConjecture.bounded_gap_legendre,https://github.com/mzhorvath1/formal-conjectures/blob/a4568d467b4f42884b6a4bd09c40d65f92113ee7/FormalConjectures/Wikipedia/LegendreConjecture.lean#L48,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
wikipedia-perfectnumbers-euler-form,PerfectNumbers.odd_perfect_number.euler_form,https://github.com/mzhorvath1/formal-conjectures/blob/7deed78f7babe2ae9ea13969a8dfa26854982407/FormalConjectures/Wikipedia/PerfectNumbers.lean#L110,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
wikipedia-wolstenholmeprime-wolstenholme-theorem,WolstenholmePrime.wolstenholme_theorem,https://github.com/mo271/formal-conjectures/blob/d833ed31d82693f10bed7a4c9ac329545b556a03/FormalConjectures/Wikipedia/WolstenholmePrime.lean#L34,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
wikipedia-wolstenholmeprime-wolstenholme-prime-16483,WolstenholmePrime.wolstenholme_prime_16483,https://github.com/mo271/formal-conjectures/blob/d833ed31d82693f10bed7a4c9ac329545b556a03/FormalConjectures/Wikipedia/WolstenholmePrime.lean#L73,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
